maxrad,minrad,meanrad,maxdur,mindur,meandur,maxwind,minwind,meanwind,elevation,energy
29.1,10.54,19.79,48289.12,25701.9,37662.82,16.23,7.59,10.58,320.0,solar
21.44,1.92,11.64,43607.85,9731.62,27242.35,37.33,18.43,27.39,15.0,solar
23.64,5.58,14.65,42527.84,17535.0,29453.24,25.27,18.71,21.3,38.0,solar
23.63,4.13,14.38,46606.89,13844.25,30737.64,15.97,10.41,12.42,80.0,solar
24.08,8.76,17.47,46159.06,23717.71,34163.21,19.75,11.32,15.05,274.0,solar
21.8,1.97,11.65,43715.04,8286.86,26021.04,35.85,16.6,25.87,73.0,solar
21.84,2.31,12.13,46842.44,10852.04,28580.85,36.79,16.81,26.46,10.0,solar
28.67,6.28,17.58,47956.99,20462.33,34104.72,25.94,14.75,19.92,859.0,solar
19.72,1.53,10.5,38062.22,7291.05,23061.32,35.43,15.65,24.96,15.0,solar
24.53,6.17,15.24,45227.77,16961.12,30339.86,23.68,15.99,19.67,12.0,solar
26.84,13.58,20.74,43785.77,30531.01,37330.03,31.46,18.77,22.89,60.0,solar
23.78,9.85,18.16,40874.77,6318.13,31449.27,21.37,12.4,17.8,39.0,solar
26.54,15.29,21.22,43217.43,32441.34,37448.07,21.34,13.08,16.64,124.0,solar
27.31,7.53,18.26,47479.41,24149.75,36600.06,18.77,8.54,14.42,279.0,solar
23.06,5.45,14.57,42051.47,15694.88,29598.86,22.57,14.48,18.77,149.0,solar
24.73,15.99,20.1,41287.62,27166.17,35408.65,28.55,11.65,17.56,138.0,solar
30.63,10.14,20.91,48444.4,27283.35,38352.59,27.67,11.24,20.0,755.0,solar
30.23,10.74,20.59,48099.09,27677.54,38072.87,17.2,9.48,13.11,794.0,solar
23.23,5.73,14.54,41325.71,17363.2,29225.18,23.5,16.95,20.11,41.0,solar
24.89,9.57,18.72,42504.77,7031.17,33941.92,27.8,13.5,20.25,8.0,solar
25.25,9.35,15.4,45263.05,23756.83,30142.94,23.31,10.2,17.17,163.0,solar
23.25,5.17,14.41,46984.74,19297.12,31710.33,10.72,7.22,8.89,250.0,solar
20.6,1.45,10.36,42444.16,5986.95,23368.19,37.99,19.87,27.72,422.0,solar
22.12,1.77,11.09,46917.75,8285.82,25104.78,36.31,18.71,26.11,34.0,solar
22.08,2.36,12.11,45860.38,10095.8,27215.02,36.18,20.98,27.14,207.0,solar
27.46,7.56,18.18,46800.0,26143.66,36937.57,19.79,13.28,16.62,55.0,solar
29.73,11.91,21.37,46077.81,30394.94,38362.61,19.55,11.76,17.03,341.0,solar
23.84,10.79,18.82,42158.25,5516.06,33179.06,27.54,12.37,17.29,443.0,solar
27.04,6.73,17.71,47978.38,21484.35,36444.67,24.16,14.26,20.78,97.0,solar
23.43,9.67,17.6,43987.14,23639.2,33769.75,22.34,13.99,18.47,25.0,solar
29.62,10.97,20.79,46928.97,29635.07,38556.87,26.14,14.83,18.97,587.0,solar
25.29,6.5,15.36,45151.52,17119.27,30540.74,28.06,21.31,23.85,17.0,solar
28.0,10.22,19.18,46837.59,25042.8,36294.25,14.25,10.72,12.54,185.0,solar
24.59,8.86,15.58,45054.01,19875.41,29030.39,16.2,7.41,13.41,433.0,solar
25.47,16.83,20.32,41509.85,29670.7,36028.01,32.99,13.09,22.97,11.0,solar
22.52,2.06,11.95,44876.04,9854.97,27766.82,38.86,19.81,28.22,4.0,solar
25.9,6.08,16.76,45207.64,16545.14,33585.29,30.93,17.74,24.19,332.0,solar
21.77,13.18,17.66,40842.11,14731.18,31764.44,13.71,9.94,11.85,179.0,solar
22.95,2.38,12.78,46720.27,10751.04,29123.28,38.08,18.06,27.51,42.0,solar
21.0,1.94,11.31,44862.0,7703.42,25586.88,34.52,17.22,25.59,119.0,solar
22.9,2.37,12.75,48028.46,10507.29,28515.58,42.95,22.06,30.74,0.0,solar
24.26,5.06,15.08,45175.88,15882.51,30942.66,26.69,14.7,20.36,370.0,solar
30.14,8.74,20.36,48982.35,24257.82,37571.57,14.52,7.34,11.43,294.0,solar
23.34,9.64,18.05,41593.06,3853.54,32070.95,13.59,8.73,11.39,206.0,solar
21.17,2.29,11.43,43945.86,9423.12,25434.64,34.22,19.77,25.59,32.0,solar
24.87,9.02,17.21,43991.26,24141.7,32907.52,23.13,15.83,18.8,46.0,solar
24.61,9.41,17.55,44828.52,23738.45,33725.73,24.21,16.65,19.77,72.0,solar
24.13,15.54,18.98,42237.55,24864.93,34634.96,11.09,5.96,8.42,79.0,solar
23.84,9.36,17.1,44039.16,23969.07,33029.4,22.25,16.11,19.02,24.0,solar
19.13,1.8,10.55,40976.21,7087.65,23568.74,33.13,18.35,24.91,206.0,solar
22.47,2.53,12.07,44025.58,10933.82,26702.19,37.08,19.89,27.2,95.0,solar
23.78,5.54,14.87,46749.99,20427.21,32363.0,11.34,7.49,8.89,268.0,solar
22.69,2.32,12.64,46903.59,10674.96,28718.43,38.68,19.09,28.08,57.0,solar
22.95,2.38,12.58,45325.77,10751.04,28765.47,38.08,19.8,27.63,46.0,solar
23.51,5.66,14.58,41742.3,16816.58,29141.4,25.06,18.37,21.04,82.0,solar
21.42,14.27,18.14,38789.69,23973.05,32452.09,16.97,9.31,12.87,5.0,solar
27.29,9.17,18.85,47026.65,25692.2,37296.39,17.1,9.72,11.82,288.0,solar
21.36,2.19,11.6,43840.48,10523.62,26722.09,34.05,18.11,24.96,66.0,solar
23.58,8.61,17.2,41812.72,22206.4,33102.18,21.22,12.39,16.15,237.0,solar
24.25,13.02,19.25,41358.53,16856.9,33889.98,35.64,13.18,21.26,619.0,solar
27.22,6.6,17.37,48217.36,20251.64,35600.72,41.31,18.66,24.91,262.0,solar
23.72,9.45,15.77,44967.05,21228.9,30549.77,28.93,11.31,21.74,93.0,solar
25.52,9.12,17.54,45575.5,20892.36,33024.2,25.76,14.77,19.16,63.0,solar
21.31,1.98,11.44,45829.86,7912.39,25944.11,33.61,17.32,24.86,68.0,solar
22.35,16.02,18.89,41416.62,26689.22,34048.59,17.7,12.76,15.09,166.0,solar
23.31,4.42,14.51,43155.86,14749.73,29823.47,26.64,16.44,21.37,299.0,solar
24.23,3.7,14.82,46665.27,13518.76,32608.81,16.44,10.53,13.48,284.0,solar
20.96,1.86,10.99,47538.44,7389.09,24408.44,32.66,19.08,24.53,182.0,solar
24.66,13.14,19.59,45365.15,31197.29,38573.11,18.66,9.49,14.57,11.0,solar
23.19,12.81,18.21,39402.72,15782.95,33388.61,19.95,11.08,15.28,382.0,solar
24.86,8.44,17.12,44314.83,22778.91,33399.76,22.32,13.55,17.16,243.0,solar
23.55,4.48,14.06,44407.54,12936.18,28650.6,19.89,9.95,16.31,215.0,solar
24.99,4.64,14.93,47780.25,16729.67,32534.61,16.83,9.85,14.34,-3.0,solar
24.45,6.12,15.13,45040.03,16075.41,30569.04,24.05,16.4,20.15,36.0,solar
24.22,8.78,17.49,43478.39,23191.21,33761.01,20.83,12.18,16.35,257.0,solar
29.28,6.86,18.72,49043.17,18679.16,35926.17,18.53,12.13,15.46,11.0,solar
23.16,3.82,13.99,43738.25,12197.28,28886.6,24.55,9.38,19.15,140.0,solar
21.62,2.28,11.8,45243.2,9716.71,26233.01,39.45,22.54,28.98,114.0,solar
24.5,9.43,16.07,44963.04,21776.87,30974.77,30.71,11.97,23.37,148.0,solar
27.94,6.33,18.3,47077.86,17139.45,35946.25,12.33,9.09,10.31,523.0,solar
24.46,9.48,17.61,44423.93,23841.23,33603.48,24.34,16.54,20.02,44.0,solar
26.94,10.88,19.12,42547.9,27889.59,35584.32,15.88,11.08,12.91,127.0,solar
26.0,3.06,14.19,46917.87,9790.05,29274.52,30.71,12.6,18.5,40.0,solar
29.18,11.38,20.99,47541.49,29891.09,38857.78,21.22,8.33,14.73,-11.0,solar
24.92,12.99,19.8,41224.49,15838.6,34100.72,35.36,15.45,21.27,497.0,solar
26.1,9.76,18.78,44540.03,23759.67,34868.08,29.51,19.2,24.21,410.0,solar
28.2,14.76,22.43,43410.61,29068.82,37879.77,26.35,15.8,20.34,1105.0,solar
21.62,1.88,11.53,46307.52,7880.69,26419.82,35.99,17.47,26.27,68.0,solar
